Suprafață utilă,Numărul de camere,Încălzire,Etaj,Chirie,Stare,Tip proprietate,Forma de proprietate,Liber de la,Tip vânzător,Informații suplimentare,Anul construcției,Lift,Facilități,Siguranță,url,Material de construcție,Tip geamuri,Media,Tip clădire,Suprafata_utila_m2
46 m²,2,fără informații,parter/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-10-28,agenție,balcon,2019,nu,,,https://www.storia.ro/ro/oferta/maurer-residence-vanzare-ap-2-camere-loc-de-parcare-IDCtv1.html,,,telefon internet cablu tv,ansamblu de apartamente,46
81 m²,3,fără informații,3,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,fără informații,1980,nu,,,https://www.storia.ro/ro/oferta/apartament-3-camere-oras-lipova-IDED9v.html,,,telefon internet cablu tv,ansamblu de apartamente,81
45.88 m²,2,centrală pe gaz,1/2,fără informații,gata de utilizare,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2025,nu,,interfon obloane,https://www.storia.ro/ro/oferta/apartament-2-camere-la-alb-etaj-1-2-incalz-pardoseala-IDEc57.html,cărămidă,,telefon internet cablu tv,ansamblu de apartamente,46
57 m²,2,centrală pe gaz,3/4,fără informații,în construcție,locuință nouă,drept de proprietate,2025-07-31,privat,balcon terasă bucătărie separată,2026,da,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartamente-noi-pallady-ikea-IDElmk.html,beton armat,,internet cablu tv,bloc,57
90 m²,3,fără informații,1/1,fără informații,de renovat,locuință utilizată,drept de proprietate,2025-11-27,agenție,grădină,1996,nu,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/oportunitate-apartament-3-camere-decomandat-in-vila-IDBKPP.html,beton,plastic,,vilă,90
54 m²,2,centralizată,1,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,balcon,2025,da,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-ultracentral-de-vnzare-IDEqjl.html,,,,,54
18 m²,1,fără informații,3/4,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,balcon,1985,nu,,,https://www.storia.ro/ro/oferta/garsoniera-zona-narcisa-IDAa8A.html,,,,,18
46 m²,2,centralizată,4,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,fără informații,2025,nu,,,https://www.storia.ro/ro/oferta/apartament-de-vanzare-mamaia-nord-natalya-resort-IDEnzv.html,,,,,46
69.4 m²,3,centralizată,/2,fără informații,fără informații,locuință nouă,fără informații,fără informații,agenție,fără informații,2009,nu,,,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-gavana-comision-0-IDDxCr.html,,,,,69
65 m²,1,centrală pe gaz,parter/6,fără informații,în construcție,locuință nouă,fără informații,fără informații,agenție,fără informații,2025,da,,uși / ferestre blindate zona imprejmuita interfon,https://www.storia.ro/ro/oferta/garsoniera-spatioasa-de-vanzare-curte-metrou-soseaua-berceni-IDshmB.html,beton,plastic,cablu tv internet,bloc,65
66.6 m²,2,fără informații,3/3,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,terasă,2023,da,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/premium-2-camere-cu-teras-mare-popeti-leordeni-IDFIPz.html,cărămidă,,internet,bloc,67
15.45 m²,1,centrală pe gaz,4,fără informații,gata de utilizare,locuință utilizată,fără informații,fără informații,agenție,bucătărie separată,1971,nu,aer condiționat,uși / ferestre blindate,https://www.storia.ro/ro/oferta/garsonier-renovat-complet-central-proprie-i-gaz-str-iacob-andrei-IDEJmG.html,,plastic,,,15
89.9 m²,3,centrală pe gaz,parter/2,fără informații,fără informații,locuință utilizată,drept de proprietate,2025-11-27,agenție,bucătărie separată,2020,nu,mobilier cuptor plită frigider mașină de spălat TV mașină de spălat vasele aer condiționat,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-superb-cu-3-camere-si-2-bai-dumbravita-IDF2vy.html,,,telefon internet cablu tv,ansamblu de apartamente,90
68.31 m²,3,centrală pe gaz,1,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,fără informații,2000,nu,mobilier,,https://www.storia.ro/ro/oferta/apartament-ultracentral-sibiu-IDDi1z.html,,,telefon internet cablu tv,ansamblu de apartamente,68
48 m²,2,fără informații,4/4,fără informații,fără informații,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon debara bucătărie separată,,nu,cuptor plită frigider mașină de spălat TV aer condiționat,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-cu-dou-camere-zona-grii-IDFtkb.html,,,telefon internet cablu tv,ansamblu de apartamente,48
23 m²,1,fără informații,3/5,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,fără informații,1982,nu,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/garsoniera-etaj-3-5-imobil-1982-sos-oltenitei-metrou-comision-0-IDEIMK.html,beton,plastic,telefon internet cablu tv,,23
43 m²,2,fără informații,1/3,fără informații,fără informații,locuință utilizată,drept de proprietate,2025-10-22,agenție,balcon,2016,nu,,,https://www.storia.ro/ro/oferta/apartament-2-camere-43mp-decomandat-parcare-inclusa-zona-teilor-IDEJrY.html,cărămidă,,,ansamblu de apartamente,43
66 m²,3,centrală pe gaz,2/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-25,agenție,balcon,1977,nu,cuptor frigider mașină de spălat,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-3-camere-vedere-superba-spre-lacul-de-agrement-zona-garii-IDFFh0.html,beton,plastic,internet,ansamblu de apartamente,66
50 m²,3,centrală pe gaz,2/4,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,balcon bucătărie separată,1962,nu,mobilier frigider cuptor mașină de spălat TV aer condiționat,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-3-camere-semidecomandat-cartier-obor-IDCAlH.html,cărămidă,plastic,internet telefon,bloc,50
41 m²,2,centrală pe gaz,3/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-25,agenție,balcon,,nu,frigider mașină de spălat TV plită,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/studio-modern-in-subcetate-sanpetru-IDFGhq.html,,plastic,internet,ansamblu de apartamente,41
83 m²,4,fără informații,6/8,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,fără informații,1980,nu,,,https://www.storia.ro/ro/oferta/apartament-panoramic-cu-4-camere-zona-300-IDEniS.html,,,telefon internet cablu tv,ansamblu de apartamente,83
48.31 m²,2,fără informații,parter,fără informații,fără informații,locuință utilizată,drept de proprietate,2025-11-26,agenție,fără informații,1960,nu,,,https://www.storia.ro/ro/oferta/apartamen-pe-cornisa-aproape-de-umf-IDElt9.html,,,telefon internet cablu tv,ansamblu de apartamente,48
80 m²,3,centralizată,parter/5,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon terasă beci,2025,da,,alarmă zona imprejmuita interfon,https://www.storia.ro/ro/oferta/apartament-premium-3-camere-zona-centrala-IDzdIR.html,cărămidă,plastic,cablu tv internet,bloc,80
50.6 m²,2,centrală pe gaz,parter/2,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon,2019,nu,aer condiționat,interfon obloane uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-2-camere-2-parcri-zona-buziaului-IDDxkR.html,,plastic,internet cablu tv,ansamblu de apartamente,51
65 m²,2,centralizată,3/6,fără informații,fără informații,locuință utilizată,drept de proprietate,2025-11-26,agenție,balcon,2020,da,frigider mașină de spălat plită mașină de spălat vasele,uși / ferestre blindate interfon supraveghere video,https://www.storia.ro/ro/oferta/apartament-2-camere-65-mp-bloc-nou-2020-balcon-generos-si-parcare-i-IDFG7D.html,cărămidă,plastic,cablu tv internet telefon,ansamblu de apartamente,65
53 m²,2,centralizată,1/5,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,,da,,,https://www.storia.ro/ro/oferta/apartament-2-camere-53-mp-semidecomandat-mobilat-lux-etaj-1-zona-ae-IDEqqx.html,,,,,53
