Suprafață utilă,Numărul de camere,Încălzire,Etaj,Chirie,Stare,Tip proprietate,Forma de proprietate,Liber de la,Tip vânzător,Informații suplimentare,Anul construcției,Lift,Facilități,Siguranță,url,Material de construcție,Tip geamuri,Media,Tip clădire,Suprafata_utila_m2
43.79 m²,2,fără informații,4/4,fără informații,fără informații,locuință nouă,fără informații,fără informații,agenție,balcon,1988,nu,,,https://www.storia.ro/ro/oferta/apartament-la-gri-campulung-muscel-zona-grui-IDEOk9.html,,,,,44
55.7 m²,2,centrală pe gaz,2/7,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon,2025,da,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-2-camere-compartimentare-moderna-acces-metrou-berceni-IDF2fS.html,beton,plastic,internet,,56
43.2 m²,2,fără informații,1/4,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,2025,nu,,,https://www.storia.ro/ro/oferta/apartament-cu-o-camera-visan-bucium-IDFIO2.html,,,,bloc,43
67 m²,2,centrală pe gaz,2/5,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,garaj,2026,da,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-la-15-minute-metrou-berceni-IDFGym.html,beton,aluminiu,internet cablu tv,bloc,67
50.76 m²,2,centrală pe gaz,5/8,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2025,da,,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-stradal-bd-metalurgiei-comision-0-IDES2U.html,beton,plastic,telefon internet,ansamblu de apartamente,51
50.97 m²,1,centrală pe gaz,5/10,fără informații,în construcție,locuință nouă,drept de proprietate,2026-11-30,dezvoltator,balcon terasă garaj bucătărie separată,2026,da,,uși / ferestre blindate interfon supraveghere video,https://www.storia.ro/ro/oferta/randament-excelent-la-garsoniera-50-97-mp-locatie-premium-zona-coresi-IDDicD.html,beton armat,plastic,cablu tv internet telefon,ansamblu de apartamente,51
50 m²,2,centrală pe gaz,parter/10,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-24,agenție,fără informații,,nu,aer condiționat,,https://www.storia.ro/ro/oferta/apartament-2-camere-50-mp-zona-tudor-IDFFgp.html,,,,,50
50 m²,2,centrală pe gaz,2/6,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,fără informații,2025,da,,interfon,https://www.storia.ro/ro/oferta/metalurgiei-carrefour-berceni-2-camere-decomandat-IDEUdL.html,beton armat,plastic,internet cablu tv,bloc,50
105 m²,3,centralizată,4/10,1 200 €,gata de utilizare,locuință utilizată,fără informații,fără informații,agenție,balcon,,da,mobilier mașină de spălat mașină de spălat vasele frigider plită cuptor TV aer condiționat,uși / ferestre blindate interfon supraveghere video,https://www.storia.ro/ro/oferta/apartament-3-camere-exclusivit-cortina-north-IDEp9y.html,,,internet cablu tv,bloc,105
50.53 m²,2,altul,1/7,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon terasă,2023,da,aer condiționat,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-zona-torontalului-IDCQPP.html,cărămidă,plastic,telefon internet cablu tv,ansamblu de apartamente,51
50 m²,2,centralizată,4/9,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,,da,aer condiționat,,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-in-grigorescu-blocurile-lama-IDE58D.html,,,,,50
50 m²,2,centrală pe gaz,3/4,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,fără informații,1971,nu,,,https://www.storia.ro/ro/oferta/apartament-2-camere-trivale-confort-1-etaj-3-centrala-termica-IDFHvG.html,cărămidă,plastic,,bloc,50
37.25 m²,1,altul,1/6,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,terasă bucătărie separată,2025,da,aer condiționat,supraveghere video uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/garsoniera-noua-cu-terasa-29-mp-imobil-premium-aparatorii-patriei-IDEZJZ.html,beton,plastic,internet,,37
60 m²,2,centrală pe gaz,1/8,fără informații,fără informații,locuință utilizată,drept de proprietate,2025-11-18,agenție,fără informații,1980,da,cuptor frigider mașină de spălat TV plită mașină de spălat vasele aer condiționat,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-premium-de-vanzare-cu-2-camere-60-mp-zona-hotel-mara-IDEdrS.html,,plastic,internet,,60
40 m²,2,fără informații,fără informații,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,fără informații,,nu,,,https://www.storia.ro/ro/oferta/de-vanzare-2-camere-decomandate-zona-smirodava-mobilat-si-utilat-IDEJn8.html,,,,,40
63.84 m²,3,centrală pe gaz,1/2,fără informații,în construcție,locuință nouă,drept de proprietate,2025-11-27,agenție,terasă garaj bucătărie separată,2025,nu,,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/comision-0-apartament-3-camere-bloc-nou-in-apahida-IDCVZn.html,cărămidă,plastic,telefon internet cablu tv,ansamblu de apartamente,64
43.3 m²,1,altul,9/10,fără informații,în construcție,locuință nouă,drept de proprietate,2025-11-27,agenție,garaj bucătărie separată,2026,da,,supraveghere video uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-1-camera-IDFvEP.html,cărămidă,plastic,internet cablu tv,ansamblu de apartamente,43
66 m²,3,centrală pe gaz,3/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon,1987,nu,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-de-3-camere-decomandat-66-mp-zona-sens-IDF316.html,cărămidă,lemn,,ansamblu de apartamente,66
66 m²,3,centrală pe gaz,10/12,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon,,nu,frigider mașină de spălat,interfon,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-decomandate-66-mp-cu-balcon-langa-piata-maras-IDFnDY.html,,plastic,internet,ansamblu de apartamente,66
107 m²,3,centrală pe gaz,1/1,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-21,agenție,fără informații,1900,nu,,interfon,https://www.storia.ro/ro/oferta/apartament-de-vanzare-cu-3-camere-107-mp-zona-centrala-IDEdTR.html,cărămidă,plastic,,vilă,107
40 m²,2,fără informații,fără informații,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,balcon,,da,aer condiționat,,https://www.storia.ro/ro/oferta/apartament-modern-2-camere-bloc-nou-etaj-4-5-alfa-IDF0e1.html,,,,,40
68 m²,3,centrală pe gaz,1/3,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-25,agenție,balcon,2006,nu,mobilier cuptor plită mașină de spălat TV mașină de spălat vasele,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vnzare-etaj-1-mobilat-utilat-calea-turn-IDFF6E.html,cărămidă,,telefon internet cablu tv,ansamblu de apartamente,68
52.05 m²,3,altul,4,fără informații,în construcție,locuință nouă,fără informații,fără informații,dezvoltator,balcon garaj,2026,da,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-3-camere-estimo-IDEY0P.html,,plastic,,,52
40 m²,1,centrală pe gaz,2/5,fără informații,gata de utilizare,locuință nouă,drept de proprietate,fără informații,agenție,balcon,2026,da,,interfon,https://www.storia.ro/ro/oferta/garsoniera-decomandata-bloc-nou-berceni-metrou-IDEWXU.html,cărămidă,aluminiu,internet cablu tv telefon,bloc,40
35.1 m²,1,centrală pe gaz,1/9,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2025,da,aer condiționat,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/locuinta-moderna-si-spatioasa-pasarela-merou-berceni-popesti-leordeni-IDERQi.html,beton,plastic,telefon internet,,35
145 m²,3,centralizată,8,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,fără informații,2002,da,mobilier aer condiționat,uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-tip-duplex-cu-3-camere-de-vnzare-n-zona-ultracentral-IDFupg.html,,,,,145
43 m²,2,centrală pe gaz,2/3,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,2025,nu,mobilier mașină de spălat frigider plită cuptor TV,,https://www.storia.ro/ro/oferta/apartament-modern-totul-nou-etaj-2-zona-urusagului-terra-IDEYhc.html,cărămidă,,,bloc,43
103.45 m²,4,altul,parter/4,fără informații,în construcție,locuință nouă,drept de proprietate,2025-11-27,agenție,terasă grădină garaj,2024,da,,interfon supraveghere video uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-modern-cu-4-camere-curte-i-teras-linite-i-confort-ap-IDFBmN.html,beton,aluminiu,telefon internet cablu tv,ansamblu de apartamente,103
69 m²,3,centrală pe gaz,4/4,fără informații,de renovat,locuință utilizată,fără informații,fără informații,agenție,balcon,1986,nu,mobilier,,https://www.storia.ro/ro/oferta/apartament-3-camere-70-mp-cartier-stadion-pre-67-500-euro-IDw0V8.html,cărămidă,plastic,internet,bloc,69
79.51 m²,3,altul,2/12,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2025,da,,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/direct-dezvoltator-apartament-3-camere-decomandat-rond-metro-berceni-IDEZE0.html,beton,plastic,telefon internet,ansamblu de apartamente,80
12 m²,1,fără informații,3/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-20,agenție,fără informații,,nu,cuptor frigider,,https://www.storia.ro/ro/oferta/garsoniera-1-camera-etaj-3-burdujeni-IDEUn7.html,cărămidă,plastic,,ansamblu de apartamente,12
47.01 m²,2,fără informații,2,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,1968,nu,,,https://www.storia.ro/ro/oferta/apartament-2-camere-etaj-2-zona-maratei-IDEoug.html,,,,,47
45.95 m²,2,altul,2/6,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon,2025,da,aer condiționat,supraveghere video uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/studio-modern-finisaje-clasa-a-zona-excelenta-aparatorii-patriei-IDF2Ob.html,beton,plastic,internet,ansamblu de apartamente,46
